{all|all} close now
can you please shut the {front|location} door
close the {front|location} door
close {all|all} {bedroom|location} doors
close {all|all} doors
close {all|all} the doors
close {all|all} the doors now
close {back|location}
close {back|location} door
close {bathroom|location} door
close {bedroom|location} door
close {front|location}
close {front|location} door
close {front|location} door
close {front|location} door now
close {garage|location}
close {garage|location} door
close {garage|location} door
close {guest room|location} door
close {all|all} doors in {all|all} the rooms
close {den|location} door
close door
close door
close door in {master bedroom|location}
close doors
close doors
close my {bedroom|location} door
close only the {front|location} door
close the {back|location} door
close the {back|location} door
close the {back|location} door
close the {back|location} door
close the {back|location} door
close the {back|location} door
close the {basement|location} door
close the {bathroom|location} door
close the {bathroom|location} door
close the {bathroom|location} door
close the {bathroom|location} door
close the {bathroom|location} door
close the {family room|location} door
close the {front|location} door
close the {front|location} door
close the {front|location} door
close the {front|location} door
close the {front|location} door
close the {garage|location} door
close the {garage|location} door
close the {garage|location} door
close the {garage|location} door
close the {laundry room|location} door
close the {den|location} door
close the door to the {basement|location}
close the door to the {kitchen|location}
close the door to the {living room|location}
close the {front|location} door and the {bathroom|location} door
close the {master bedroom|location} door
close the {nursery|location} door
close the {playroom|location} door
please close the {bathroom|location} door
please shut the {bathroom|location} door
please shut the {front|location} door
shut {all|all} doors
shut {all|all} doors
shut {all|all} the doors
shut {all|all} the doors
shut {bathroom|location} door
shut {front|location} door
shut {garage|location} door
shut {all|all} the doors for the night
shut the {basement|location} door
shut the {bathroom|location} door
shut the {bedroom|location} door
shut the {closet|location} door
shut the {front|location} door
shut the {front|location} door
shut the {front|location} door
shut the {garage|location} door
shut the {backyard|location} gate
shut the door to the {kitchen|location}
shut the {master bedroom|location}
close the door
please close the {garage|location} door
