when is the {awards|genres} {show|type} on?
when can I watch {football|genres} on {espn|channel}?
when is {dr. Oz|title} on
what time do the {Giants|teams} play?
when is the {Liverpool|teams} game?
what time can I watch the {Brown|teams} game?
when does {San Francisco|teams} play?
what time is the next {knicks|teams} game?
what time is the {76ers|teams} game?
when is the next {rangers|teams} game?
when do the {steelers|teams} play again?
what time is the game with the {indians|teams}?
when is the game with the {red sox|teams}?
what time is the game with the {dodgers|teams}?
when can I watch the {rays|teams} game?
what time is the {rockies|teams} game?
when is the {pirates|teams} game?
what time is the game of the {astros|teams}
